"SP500","EuropeStocks","EMStocks","Treasury","CorpBonds","RealEstate","date"
-0.00983523998229785,0.00668336410230363,0,0.0199546145295448,0,0,2000-01-03
-0.0398916630950374,-0.0231637282629973,0,-0.0137722146212274,0,0,2000-01-04
0.00178773566888335,-0.0263341860065442,0,0.0198328392329183,0,0,2000-01-05
-0.0162019782918312,-0.00394503908296207,0,-0.00758153745239776,0,0,2000-01-06
0.0564520025459183,0.0212913775591947,0,-0.00763945655795761,0,0,2000-01-07
0.00342501927608296,0.0166278182772968,0,0.00763945655795761,0,0,2000-01-10
-0.012038322159551,0.0016901330502348,0,0.0151060274310131,0,0,2000-01-11
-0.00999800684422425,-0.00677688470121574,0,0.00746829460752596,0,0,2000-01-12
0.0134524533976288,0.00635445992581385,0,-0.0134833503372871,0,0,2000-01-13
0.0134860349677135,0.0125893649059643,0,0.00900906994236594,0,0,2000-01-14
0,0,0,0,0,0,2000-01-17
-0.00789862259568697,-0.018094305143729,0,0,0,0,2000-01-18
0.00811148638438741,-0.00553562710544098,0,-0.00296736122780206,0,0,2000-01-19
-0.0154250154008739,0.00383575850508056,0,0.0088757979139682,0,0,2000-01-20
-0.00216077930722403,-0.00511733461934183,0,0,0,0,2000-01-21
-0.0287520371950496,0.00128157611426127,0,-0.0148370674304676,0,0,2000-01-24
0.0112919208178628,-0.0128920159364987,0,0.00149365225678344,0,0,2000-01-25
-0.00795784186333215,0.00989893332589364,0,-0.00149365225678344,0,0,2000-01-26
-0.0040022431393929,-0.000856906849388217,0,-0.00149588659158284,0,0,2000-01-27
-0.0316912398953528,-0.0172938388371864,0,-0.00299850299625648,0,0,2000-01-28
0.0267768192060167,-0.0189309804160813,0,0.00299850299625648,0,0,2000-01-31
0.00980434571714017,0.00840907565380933,0,-0.00902261759963729,0,0,2000-02-01
0.000886340467565638,0.0217967470353591,0,-0.00302572091653719,0,0,2000-02-02
0.0149520246081805,0.0242821670730691,0,-0.0168071183163812,0,0,2000-02-03
-0.00415543604485258,-0.00675674695649109,0,0.00614441257234111,0,0,2000-02-04
-0.00153494203303861,-0.0072293206687073,0,0.0167050202000028,0,0,2000-02-07
0.0135160467162274,0.031508600254591,0,-0.00755861497392663,0,0,2000-02-08
-0.0212280088294463,0.0123305332103314,0,-0.00456274555841829,0,0,2000-02-09
0.00198871146406354,-0.00491375630685109,0,0.0166292569715347,0,0,2000-02-10
-0.0205178412246507,0.00409662598920413,0,-0.00601505572976113,0,0,2000-02-11
0.00584139086052371,-0.0119269536151876,0,-0.0106142012417736,0,0,2000-02-14
0.0112490714291678,-0.0196372426382547,0,0,0,0,2000-02-15
-0.0148398753914751,0.00965784761802313,0,0,0,0,2000-02-16
-0.00518471950858057,0.00832285468642269,0,0.00304414238122841,0,0,2000-02-17
-0.0217023239162408,-0.00707007538801863,0,-0.0137722146212274,0,0,2000-02-18
0,0,0,0,0,0,2000-02-21
-0.00254386327507206,0.00955375405556991,0,0,0,0,2000-02-22
0.0117393966121133,0.00905334261716551,0,0.0125001627642316,0,0,2000-02-23
-0.0203431372324472,-0.00328265848748144,0,-0.0125001627642316,0,0,2000-02-24
-0.00362616685208561,0.00410187366796189,0,0,0,0,2000-02-25
0.0207602653825907,-0.0227708313732222,0,0.00157109223204133,0,0,2000-02-28
0.00959517533471299,0.0083403140797409,0,0.00781864811779776,0,0,2000-02-29
0.00725035768013083,0.0185156343041482,0,-0.00468384931242638,0,0,2000-03-01
0.000676992809819588,0.0109464987808918,0,0.00156372197618282,0,0,2000-03-02
0.0185499931366717,0.0040241918227375,0,-0.00156372197618282,0,0,2000-03-03
-0.00979118348299313,0.0167267660538499,0,0.00468384931242638,0,0,2000-03-06
-0.0195316290002125,-0.00793033788504482,0,-0.00468384931242638,0,0,2000-03-07
-0.00125534329210186,-0.0136273038594918,0,-0.00156617103274503,0,0,2000-03-08
0.0288050022367008,0.00803850926191396,0,-0.00471328445209829,0,0,2000-03-09
-0.00533770099284148,0.00199962145212984,0,0.00627945548484332,0,0,2000-03-10
-0.0109881724812642,-0.0287760402515644,0,-0.0047058910374127,0,0,2000-03-13
-0.0143073157445617,0.00287408172712755,0,-0.00789270079890891,0,0,2000-03-14
0.0230623592564196,-0.0198764294643841,0,-0.00317460584077267,0,0,2000-03-15
