"SP500","EuropeStocks","EMStocks","Treasury","CorpBonds","RealEstate","PrivateEquity","GlobalBond","date"
-0.00983523998229785,0.00668336410230363,0,0.00025490276352218,0,0,0,0,2000-01-03
-0.0398916630950374,-0.0231637282629973,0,0.000251523592156804,0,0,0,-0.000981222242389279,2000-01-04
0.00178773566888335,-0.0263341860065442,0,0.000256403701626095,0,0,0,0,2000-01-05
-0.0162019782918312,-0.00394503908296207,0,0.000254527440979094,0,0,0,0,2000-01-06
0.0564520025459183,0.0212913775591947,0,0.00025265029983056,0,0,0,0.000981222242389279,2000-01-07
0.00342501927608296,0.0166278182772968,0,0.000254527440979094,0,0,0,0.000979402587832245,2000-01-10
-0.012038322159551,0.0016901330502348,0,0.0002582790825972,0,0,0,-0.000979402587832245,2000-01-11
-0.00999800684422425,-0.00677688470121574,0,0.000260153584716889,0,0,0,-0.000981222242389279,2000-01-12
0.0134524533976288,0.00635445992581385,0,0.000256778848167987,0,0,0,0.000981222242389279,2000-01-13
0.0134860349677135,0.0125893649059643,0,0.000259028988861114,0,0,0,0,2000-01-14
0,0,0,0,0,0,0,0,2000-01-17
-0.00789862259568697,-0.018094305143729,0,0.00026127786448257,0,0,0,0,2000-01-18
0.00811148638438741,-0.00553562710544098,0,0.000260528379751129,0,0,0,0,2000-01-19
-0.0154250154008739,0.00383575850508056,0,0.00026277641278145,0,0,0,0,2000-01-20
-0.00216077930722403,-0.00511733461934183,0,0.00026277641278145,0,0,0,0.000979402587832245,2000-01-21
-0.0287520371950496,0.00128157611426127,0,0.000259028988861114,0,0,0,0,2000-01-24
0.0112919208178628,-0.0128920159364987,0,0.000259403889278465,0,0,0,0.000979472651530644,2000-01-25
-0.00795784186333215,0.00989893332589364,0,0.000259028988861114,0,0,0,0,2000-01-26
-0.0040022431393929,-0.000856906849388217,0,0.000258654053302889,0,0,0,-0.000979472651530644,2000-01-27
-0.0316912398953528,-0.0172938388371864,0,0.000257904076737459,0,0,0,0,2000-01-28
0.0267768192060167,-0.0189309804160813,0,0.000258654053302889,0,0,0,0.000979472651530644,2000-01-31
0.00980434571714017,0.00840907565380933,0,0.000256403701626095,0,0,0,0,2000-02-01
0.000886340467565638,0.0217967470353591,0,0.000255653302974611,0,0,0,0,2000-02-02
0.0149520246081805,0.0242821670730691,0,0.000251523592156804,0,0,0,0,2000-02-03
-0.00415543604485258,-0.00675674695649109,0,0.000253025798540059,0,0,0,0,2000-02-04
-0.00153494203303861,-0.0072293206687073,0,0.000257153959529447,0,0,0,0,2000-02-07
